RefexSampleId	BiosampleId	ProjectSampleId
RES00001615	SAMN07187968	GSM2647254
RES00001615	SAMN07187967	GSM2647255
RES00001615	SAMN07188041	GSM2647256
RES00001616	SAMN07188040	GSM2647257
RES00001616	SAMN07188039	GSM2647258
RES00001616	SAMN07188038	GSM2647259
RES00001617	SAMN07188037	GSM2647260
RES00001617	SAMN07188036	GSM2647261
RES00001617	SAMN07188035	GSM2647262
RES00001618	SAMN07188034	GSM2647263
RES00001618	SAMN07188167	GSM2647264
RES00001618	SAMN07188166	GSM2647265
RES00001619	SAMN07188165	GSM2647266
RES00001619	SAMN07188164	GSM2647267
RES00001619	SAMN07188163	GSM2647268
RES00001620	SAMN07188162	GSM2647269
RES00001620	SAMN07188161	GSM2647270
RES00001620	SAMN07188160	GSM2647271
RES00001621	SAMN07188159	GSM2647272
RES00001621	SAMN07188158	GSM2647273
RES00001621	SAMN07188235	GSM2647274
RES00001622	SAMN07188234	GSM2647275
RES00001622	SAMN07188233	GSM2647276
RES00001622	SAMN07188232	GSM2647277
RES00001623	SAMN07188231	GSM2647278
RES00001623	SAMN07188230	GSM2647279
RES00001623	SAMN07188229	GSM2647280
RES00001624	SAMN07188228	GSM2647281
RES00001624	SAMN07188227	GSM2647282
RES00001624	SAMN07188226	GSM2647283
RES00001625	SAMN07188225	GSM2647284
RES00001625	SAMN07188224	GSM2647285
RES00001625	SAMN07188223	GSM2647286
RES00001626	SAMN07188222	GSM2647287
RES00001626	SAMN07188221	GSM2647288
RES00001626	SAMN07188220	GSM2647289
RES00001627	SAMN07188219	GSM2647290
RES00001627	SAMN07188218	GSM2647291
RES00001627	SAMN07188217	GSM2647292
RES00001628	SAMN07188216	GSM2647293
RES00001628	SAMN07188383	GSM2647294
RES00001628	SAMN07188382	GSM2647295
RES00001629	SAMN07188381	GSM2647296
RES00001629	SAMN07188380	GSM2647297
RES00001629	SAMN07188379	GSM2647298
RES00001630	SAMN07188378	GSM2647299
RES00001630	SAMN07188377	GSM2647300
RES00001630	SAMN07188376	GSM2647301
RES00001631	SAMN07188375	GSM2647302
RES00001631	SAMN07188374	GSM2647303
RES00001631	SAMN07188373	GSM2647304
RES00001632	SAMN07188372	GSM2647305
RES00001632	SAMN07188371	GSM2647306
RES00001632	SAMN07188370	GSM2647307
RES00001633	SAMN07188446	GSM2647308
RES00001633	SAMN07188445	GSM2647309
RES00001633	SAMN07188444	GSM2647310
RES00001634	SAMN07188443	GSM2647311
RES00001634	SAMN07188442	GSM2647312
RES00001634	SAMN07188441	GSM2647313
RES00001635	SAMN07188440	GSM2647314
RES00001635	SAMN07188439	GSM2647315
RES00001635	SAMN07188438	GSM2647316
RES00001636	SAMN07188437	GSM2647317
RES00001636	SAMN07188436	GSM2647318
RES00001636	SAMN07188435	GSM2647319
RES00001637	SAMN07188434	GSM2647320
RES00001637	SAMN07188433	GSM2647321
RES00001637	SAMN07188432	GSM2647322
RES00001638	SAMN07188431	GSM2647323
RES00001638	SAMN07188335	GSM2647324
RES00001638	SAMN07188334	GSM2647325
RES00001639	SAMN07188333	GSM2647326
RES00001639	SAMN07188332	GSM2647327
RES00001639	SAMN07188409	GSM2647328
RES00001640	SAMN07188408	GSM2647329
RES00001640	SAMN07188403	GSM2647330
RES00001640	SAMN07188402	GSM2647331
RES00001641	SAMN07188401	GSM2647332
RES00001641	SAMN07188407	GSM2647333
RES00001641	SAMN07188406	GSM2647334
RES00001642	SAMN07188405	GSM2647335
RES00001642	SAMN07188404	GSM2647336
RES00001642	SAMN07188400	GSM2647337
RES00001643	SAMN07188399	GSM2647338
RES00001643	SAMN07188398	GSM2647339
RES00001643	SAMN07188397	GSM2647340
RES00001644	SAMN07188396	GSM2647341
RES00001644	SAMN07188395	GSM2647342
RES00001644	SAMN07188394	GSM2647343
RES00001645	SAMN07188393	GSM2647344
RES00001645	SAMN07188392	GSM2647345
RES00001645	SAMN07188391	GSM2647346
RES00001646	SAMN07188390	GSM2647347
RES00001646	SAMN07188389	GSM2647348
RES00001646	SAMN07188388	GSM2647349
RES00001615	SAMN07795134	GSM2817311
RES00001616	SAMN07795133	GSM2817312
RES00001617	SAMN07795132	GSM2817313
RES00001618	SAMN07795101	GSM2817314
RES00001619	SAMN07795100	GSM2817315
RES00001620	SAMN07795099	GSM2817316
RES00001621	SAMN07795098	GSM2817317
RES00001622	SAMN07795097	GSM2817318
RES00001623	SAMN07795096	GSM2817319
RES00001624	SAMN07795095	GSM2817320
RES00001625	SAMN07795094	GSM2817321
RES00001626	SAMN07795093	GSM2817322
RES00001627	SAMN07795092	GSM2817323
RES00001628	SAMN07795091	GSM2817324
RES00001629	SAMN07795090	GSM2817325
RES00001630	SAMN07795089	GSM2817326
RES00001631	SAMN07795088	GSM2817327
RES00001632	SAMN07795087	GSM2817328
RES00001633	SAMN07795086	GSM2817329
RES00001634	SAMN07795085	GSM2817330
RES00001635	SAMN07795084	GSM2817331
RES00001636	SAMN07795083	GSM2817332
RES00001637	SAMN07795082	GSM2817333
RES00001638	SAMN07795081	GSM2817334
RES00001639	SAMN07795080	GSM2817335
RES00001640	SAMN07795079	GSM2817336
RES00001641	SAMN07795078	GSM2817337
RES00001642	SAMN07795077	GSM2817338
RES00001643	SAMN07795076	GSM2817339
RES00001644	SAMN07795075	GSM2817340
RES00001645	SAMN07795074	GSM2817341
RES00001646	SAMN07795073	GSM2817342
