Fantom5SampleId	Description	SampleTypesCategory	ExperimentsCategory	Species	Sex	Age	AgeUnit	DevelopmentalStage	UberonId	UberonLabel	ClId	ClLabel	NcitId	NcitLabel
13063-139I3	J2E erythroblastic leukemia response to erythropoietin, 00hr00min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13129-140G6	J2E erythroblastic leukemia response to erythropoietin, 00hr00min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13195-141E9	J2E erythroblastic leukemia response to erythropoietin, 00hr00min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13064-139I4	J2E erythroblastic leukemia response to erythropoietin, 00hr15min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13130-140G7	J2E erythroblastic leukemia response to erythropoietin, 00hr15min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13196-141F1	J2E erythroblastic leukemia response to erythropoietin, 00hr15min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13065-139I5	J2E erythroblastic leukemia response to erythropoietin, 00hr30min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13131-140G8	J2E erythroblastic leukemia response to erythropoietin, 00hr30min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13197-141F2	J2E erythroblastic leukemia response to erythropoietin, 00hr30min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13066-139I6	J2E erythroblastic leukemia response to erythropoietin, 00hr45min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13132-140G9	J2E erythroblastic leukemia response to erythropoietin, 00hr45min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13198-141F3	J2E erythroblastic leukemia response to erythropoietin, 00hr45min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13067-139I7	J2E erythroblastic leukemia response to erythropoietin, 01hr00min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13133-140H1	J2E erythroblastic leukemia response to erythropoietin, 01hr00min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13199-141F4	J2E erythroblastic leukemia response to erythropoietin, 01hr00min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13068-139I8	J2E erythroblastic leukemia response to erythropoietin, 01hr20min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13134-140H2	J2E erythroblastic leukemia response to erythropoietin, 01hr20min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13200-141F5	J2E erythroblastic leukemia response to erythropoietin, 01hr20min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13069-139I9	J2E erythroblastic leukemia response to erythropoietin, 01hr40min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13135-140H3	J2E erythroblastic leukemia response to erythropoietin, 01hr40min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13201-141F6	J2E erythroblastic leukemia response to erythropoietin, 01hr40min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13070-140A1	J2E erythroblastic leukemia response to erythropoietin, 02hr00min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13136-140H4	J2E erythroblastic leukemia response to erythropoietin, 02hr00min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13202-141F7	J2E erythroblastic leukemia response to erythropoietin, 02hr00min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13071-140A2	J2E erythroblastic leukemia response to erythropoietin, 02hr30min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13137-140H5	J2E erythroblastic leukemia response to erythropoietin, 02hr30min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13203-141F8	J2E erythroblastic leukemia response to erythropoietin, 02hr30min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13072-140A3	J2E erythroblastic leukemia response to erythropoietin, 03hr00min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13138-140H6	J2E erythroblastic leukemia response to erythropoietin, 03hr00min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13204-141F9	J2E erythroblastic leukemia response to erythropoietin, 03hr00min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13073-140A4	J2E erythroblastic leukemia response to erythropoietin, 03hr30min, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13139-140H7	J2E erythroblastic leukemia response to erythropoietin, 03hr30min, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13205-141G1	J2E erythroblastic leukemia response to erythropoietin, 03hr30min, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13074-140A5	J2E erythroblastic leukemia response to erythropoietin, 04hr, biol_rep1	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13140-140H8	J2E erythroblastic leukemia response to erythropoietin, 04hr, biol_rep2	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
13206-141G2	J2E erythroblastic leukemia response to erythropoietin, 04hr, biol_rep3	cell lines	time courses	Mouse (Mus musculus)	NA	NA	NA	NA	UBERON:0000178	blood	CL:0000765	erythroblast	NCIT:C7064	Erythroid Neoplasm
